total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
5,6,3,KHARAZISHVILI Giorgi,8084,2003-11-28,19.7,M,GEO,A,72.9,73 kg Men,0,0,579,European Junior Championships,2023-07-24,130,-134,134,134,163,168,171,171,305
6,7,7,KOLESNYK Serhii,8475,2004-01-05,19.5,M,UKR,A,73,73 kg Men,0,0,579,European Junior Championships,2023-07-24,131,133,-135,133,162,-168,-169,162,295
7,10,5,SCHMITT Riccardo,14676,2003-01-25,20.5,M,GER,A,72.75,73 kg Men,0,0,579,European Junior Championships,2023-07-24,117,121,125,125,161,-166,166,166,291
9,11,8,PONOMARENKO Yaroslav,13036,2005-11-30,17.6,M,UKR,A,73,73 kg Men,0,0,579,European Junior Championships,2023-07-24,115,120,-123,120,156,160,-163,160,280
10,8,11,GALLART LECHON Kilian,5365,2004-12-25,18.6,M,ESP,A,72.75,73 kg Men,0,0,579,European Junior Championships,2023-07-24,120,125,128,128,150,-155,-155,150,278
NA,4,NA,ABASHIDZE Saba,20,2004-11-02,18.7,M,GEO,A,72.8,73 kg Men,0,0,579,European Junior Championships,2023-07-24,132,137,139,139,-160,-160,-160,NA,NA
8,9,9,UJVARI Lajos,16633,2004-04-23,19.3,M,HUN,B,73,73 kg Men,0,0,579,European Junior Championships,2023-07-24,120,125,127,127,150,155,-157,155,282
11,13,10,STEFANOV Petyo,15559,2006-09-24,16.8,M,BUL,B,72.5,73 kg Men,0,0,579,European Junior Championships,2023-07-24,115,-120,-121,115,142,144,151,151,266
12,14,12,KLINGER Jonas,8375,2006-09-18,16.8,M,AUT,B,72.6,73 kg Men,0,0,579,European Junior Championships,2023-07-24,107,112,115,115,136,141,143,143,258
13,12,15,MARINOVSKY Tomer,10147,2003-06-09,20.1,M,ISR,B,72.65,73 kg Men,0,0,579,European Junior Championships,2023-07-24,114,116,-118,116,-133,134,137,137,253
14,15,17,LAGJA Sajmir,8895,2004-05-04,19.2,M,ALB,B,71.95,73 kg Men,0,0,579,European Junior Championships,2023-07-24,-110,110,112,112,135,-140,-140,135,247
15,16,16,KLIAMPAS Ioannis,8369,2003-05-15,20.2,M,GRE,B,72.1,73 kg Men,0,0,579,European Junior Championships,2023-07-24,110,-113,-113,110,-136,-136,136,136,246
16,18,13,AUNE Rasmus Heggvik,1549,2005-01-13,18.5,M,NOR,B,72.35,73 kg Men,0,0,579,European Junior Championships,2023-07-24,102,105,107,107,132,135,139,139,246
